date,geography_code,geography_name,variable_name,value
2022,E11000003,South Yorkshire Met County,mean_weekly_wage,553.8
2022,E11000003,South Yorkshire Met County,lq_weekly_wage,331.3
2022,E08000016,Barnsley,median_weekly_wage,493.5
2022,E08000016,Barnsley,mean_weekly_wage,554.3
2022,E08000016,Barnsley,lq_weekly_wage,340.8
2022,E08000017,Doncaster,median_weekly_wage,494.2
2022,E08000017,Doncaster,mean_weekly_wage,554.3
2022,E08000017,Doncaster,lq_weekly_wage,327.4
2022,E08000018,Rotherham,median_weekly_wage,476.2
2022,E08000018,Rotherham,mean_weekly_wage,546.3
2022,E08000018,Rotherham,lq_weekly_wage,322.1
2022,E08000019,Sheffield,median_weekly_wage,492.1
2022,E08000019,Sheffield,mean_weekly_wage,557
2022,E08000019,Sheffield,lq_weekly_wage,331.6
2022,E11000006,West Yorkshire Met County,median_weekly_wage,504.3
2022,E11000006,West Yorkshire Met County,mean_weekly_wage,573.2
2022,E11000006,West Yorkshire Met County,lq_weekly_wage,351.9
2022,E08000032,Bradford,median_weekly_wage,476.9
2022,E08000032,Bradford,mean_weekly_wage,547.8
2022,E08000032,Bradford,lq_weekly_wage,308.4
2022,E08000033,Calderdale,median_weekly_wage,494.4
2022,E08000033,Calderdale,mean_weekly_wage,563.1
2022,E08000033,Calderdale,lq_weekly_wage,347.3
2022,E08000034,Kirklees,median_weekly_wage,513.5
2022,E08000034,Kirklees,mean_weekly_wage,554
2022,E08000034,Kirklees,lq_weekly_wage,333.1
2022,E08000035,Leeds,median_weekly_wage,536.6
2022,E08000035,Leeds,mean_weekly_wage,608.1
2022,E08000035,Leeds,lq_weekly_wage,382.2
2022,E08000036,Wakefield,median_weekly_wage,475.3
2022,E08000036,Wakefield,mean_weekly_wage,554.8
2022,E08000036,Wakefield,lq_weekly_wage,331.6
2022,E12000001,North East,median_annual_wage,25347
2022,E12000001,North East,mean_annual_wage,28934
2022,E12000001,North East,lq_annual_wage,17028
2022,E12000001,North East,lq_monthly_wage,1419
2022,E06000005,Darlington UA,median_annual_wage,26184
2022,E06000005,Darlington UA,mean_annual_wage,30318
2022,E06000005,Darlington UA,lq_annual_wage,18954
2022,E06000005,Darlington UA,lq_monthly_wage,1580
2022,E06000001,Hartlepool UA,median_annual_wage,24537
2022,E06000001,Hartlepool UA,mean_annual_wage,25602
2022,E06000001,Hartlepool UA,lq_annual_wage,14588
2022,E06000001,Hartlepool UA,lq_monthly_wage,1216
2022,E06000002,Middlesbrough UA,median_annual_wage,NA
2022,E06000002,Middlesbrough UA,mean_annual_wage,25967
2022,E06000002,Middlesbrough UA,lq_annual_wage,NA
2022,E06000002,Middlesbrough UA,lq_monthly_wage,NA
2022,E06000003,Redcar and Cleveland UA,median_annual_wage,22172
2022,E06000003,Redcar and Cleveland UA,mean_annual_wage,26201
2022,E06000003,Redcar and Cleveland UA,lq_annual_wage,14299
2022,E06000003,Redcar and Cleveland UA,lq_monthly_wage,1192
2022,E06000004,Stockton-on-Tees UA,median_annual_wage,26819
2022,E06000004,Stockton-on-Tees UA,mean_annual_wage,28725
2022,E06000004,Stockton-on-Tees UA,lq_annual_wage,NA
2022,E06000004,Stockton-on-Tees UA,lq_monthly_wage,NA
2022,E06000047,County Durham UA,median_annual_wage,25904
2022,E06000047,County Durham UA,mean_annual_wage,29572
2022,E06000047,County Durham UA,lq_annual_wage,17899
2022,E06000047,County Durham UA,lq_monthly_wage,1492
2022,E06000057,Northumberland UA,median_annual_wage,24655
2022,E06000057,Northumberland UA,mean_annual_wage,29867
2022,E06000057,Northumberland UA,lq_annual_wage,16191
2022,E06000057,Northumberland UA,lq_monthly_wage,1349
2022,E11000007,Tyne and Wear Met County,median_annual_wage,25404
