,geography_code,tenure_type,value,variable_name
232,E07000083,local_authority_owned,0.0,number_of_houses
233,E10000014,local_authority_owned,20774.0,number_of_houses
234,E07000084,local_authority_owned,0.0,number_of_houses
235,E07000085,local_authority_owned,0.0,number_of_houses
236,E07000086,local_authority_owned,10.0,number_of_houses
237,E07000087,local_authority_owned,2432.0,number_of_houses
238,E07000088,local_authority_owned,3086.0,number_of_houses
239,E07000089,local_authority_owned,41.0,number_of_houses
240,E07000090,local_authority_owned,4844.0,number_of_houses
241,E07000091,local_authority_owned,5149.0,number_of_houses
242,E07000092,local_authority_owned,10.0,number_of_houses
243,E07000093,local_authority_owned,0.0,number_of_houses
244,E07000094,local_authority_owned,5202.0,number_of_houses
245,E10000015,local_authority_owned,32810.0,number_of_houses
246,E07000095,local_authority_owned,496.0,number_of_houses
247,E07000096,local_authority_owned,10239.0,number_of_houses
248,E07000242,local_authority_owned,28.0,number_of_houses
249,E07000098,local_authority_owned,151.0,number_of_houses
250,E07000099,local_authority_owned,0.0,number_of_houses
251,E07000240,local_authority_owned,4912.0,number_of_houses
252,E07000243,local_authority_owned,7874.0,number_of_houses
253,E07000102,local_authority_owned,53.0,number_of_houses
254,E07000103,local_authority_owned,45.0,number_of_houses
255,E07000241,local_authority_owned,9012.0,number_of_houses
256,E10000016,local_authority_owned,31502.0,number_of_houses
257,E07000105,local_authority_owned,5157.0,number_of_houses
258,E07000106,local_authority_owned,5090.0,number_of_houses
259,E07000107,local_authority_owned,4236.0,number_of_houses
260,E07000108,local_authority_owned,4798.0,number_of_houses
261,E07000109,local_authority_owned,5660.0,number_of_houses
262,E07000110,local_authority_owned,0.0,number_of_houses
263,E07000111,local_authority_owned,6.0,number_of_houses
264,E07000112,local_authority_owned,3390.0,number_of_houses
265,E07000113,local_authority_owned,7.0,number_of_houses
266,E07000114,local_authority_owned,3092.0,number_of_houses
267,E07000115,local_authority_owned,10.0,number_of_houses
268,E07000116,local_authority_owned,56.0,number_of_houses
269,E10000017,local_authority_owned,9664.0,number_of_houses
270,E07000117,local_authority_owned,40.0,number_of_houses
271,E07000118,local_authority_owned,87.0,number_of_houses
272,E07000119,local_authority_owned,0.0,number_of_houses
273,E07000120,local_authority_owned,4.0,number_of_houses
274,E07000121,local_authority_owned,3644.0,number_of_houses
275,E07000122,local_authority_owned,3.0,number_of_houses
276,E07000123,local_authority_owned,0.0,number_of_houses
277,E07000124,local_authority_owned,9.0,number_of_houses
278,E07000125,local_authority_owned,17.0,number_of_houses
279,E07000126,local_authority_owned,0.0,number_of_houses
280,E07000127,local_authority_owned,5860.0,number_of_houses
281,E07000128,local_authority_owned,0.0,number_of_houses
282,E10000018,local_authority_owned,15868.0,number_of_houses
283,E07000129,local_authority_owned,0.0,number_of_houses
284,E07000130,local_authority_owned,5505.0,number_of_houses
285,E07000131,local_authority_owned,0.0,number_of_houses
286,E07000132,local_authority_owned,3225.0,number_of_houses
287,E07000133,local_authority_owned,1798.0,number_of_houses
288,E07000134,local_authority_owned,4149.0,number_of_houses
289,E07000135,local_authority_owned,1191.0,number_of_houses
290,E10000019,local_authority_owned,21436.0,number_of_houses
291,E07000136,local_authority_owned,0.0,number_of_houses
292,E07000137,local_authority_owned,0.0,number_of_houses
293,E07000138,local_authority_owned,7699.0,number_of_houses
294,E07000139,local_authority_owned,4002.0,number_of_houses
295,E07000140,local_authority_owned,3813.0,number_of_houses
296,E07000141,local_authority_owned,5913.0,number_of_houses
297,E07000142,local_authority_owned,9.0,number_of_houses
298,E10000020,local_authority_owned,20359.0,number_of_houses
299,E07000143,local_authority_owned,27.0,number_of_houses
300,E07000144,local_authority_owned,12.0,number_of_houses
301,E07000145,local_authority_owned,5776.0,number_of_houses
302,E07000146,local_authority_owned,110.0,number_of_houses
303,E07000147,local_authority_owned,22.0,number_of_houses
304,E07000148,local_authority_owned,14405.0,number_of_houses
305,E07000149,local_authority_owned,7.0,number_of_houses
306,E10000021,local_authority_owned,,number_of_houses
307,E07000150,local_authority_owned,,number_of_houses
308,E07000151,local_authority_owned,,number_of_houses
309,E07000152,local_authority_owned,,number_of_houses
310,E07000153,local_authority_owned,,number_of_houses
